"index","text","sentiment_label"
"0","how's it going Arthur I just placed an order with you guys and I accidentally sent it to the wrong address can you please help me change this","negative"
"1","yeah hello I'm just wondering if I can speak to someone about an order I received yesterday","neutral"
"2","hey I receive my order but it's the wrong size can I get a refund please","negative"
"3","hi David I just placed an order online and I was wondering if I could make an alteration to that order before you send it off","neutral"
"4","hey I bought something from your website the other day and it arrived but it's it's not the thing that I ordered is there someone I can talk to her to fix this up","negative"
"5","hey mate just looking to make some alterations to my order I just placed","neutral"
"6","hi I just ordered a new phone and I was just wondering if I could cancel out order and organise a refund","neutral"
"7","yeah hey I need I need some help with it with an order that I ordered the other day it it came in it wasn't it wasn't correct","negative"
"8","yeah I just placed in all this you guys and I was wondering if I could change a few things before it's shift out","neutral"
"9","hey I just ordered the blue and yellow shoes off your website and I was wondering if I could cancel that order and organise a refund","neutral"
"10","hey Polly just looking to place an order but before I proceed I'm just wondering if this offer still stands","neutral"
"11","do you currently offer any new promotions at the moment","neutral"
"12","hey so I just placed an order with your company and I was just wondering where I can find my reference number","neutral"
"13","just wondering if there's any tutorials on how to setup my device I just received","neutral"
"14","I've just bought a product new guys and I want to know what your return keys and Caesar","neutral"
"15","yeah hello someone this morning delivered a package but I think it's I think it's not the right one that I ordered is there someone I can talk to you too to change it","negative"
"16","I'm just happy with the colour that I got from you guys so is there any chance I can change it for a different one","positive"
"17","hey mate how are you doing just wanted to know if there's any support I can get on this device how to set it up","neutral"
"18","hi I saw your new phone on your website I was wondering if you have any setup tips for","neutral"
"19","hi I just ordered a new t-shirt and I was wondering if I could cancel an order and organise a refund","neutral"
"20","hi I just ordered the green and blue shoes off your website and I was wondering if I could add a shirt to my order before you send it","neutral"
"21","hey I'm just not happy with the product that you guys send me is there any chance I can swap it out for another one","negative"
"22","hi Michael just looking to enquire about a few things before I place an order I was wondering if you could help me","neutral"
"23","I bought a pair of pants from you guys but they're way too small","negative"
"24","all the things I receive my order yesterday with damaged I'm not sure what happened to delivery is there someone that can give me a hand","negative"
"25","my order a 64321 arrived this morning but there's something wrong with it is there someone I can talk to you to fix it","negative"
"26","just received the product from you guys and it didn't meet my expectations can I please get a refund","negative"
"27","hi I just ordered some shoes and I was just wondering if I could cancel the order and make a refund","neutral"
"28","is there anybody that can help me set up this product or any how to use","neutral"
"29","I recently got these pair of shoes but they're too big can I change the size","negative"
"30","your hi Jacob looking to make an order but just have a few questions regarding some products that you have online","neutral"
"31","hey I ordered something yesterday and it arrived it arrived this morning but it seems like there's a few a few extra things in there that I didn't really order is there someone that I can talk to you to fix this up","negative"
"32","the box that you sent me yesterday arrived but it's damaged the someone I can talk to about a replacement","negative"
"33","a couple of days ago I got a message saying that my package has been delivered it wasn't delivered that day but it still hasn't arrived there someone I can talk to about my order","negative"
"34","I just placed an order online and I was just wondering when I'll get my confirmation email","neutral"
"35","yeah hello someone this morning delivered a package but I think it's I think it's not the right one that I ordered is there someone I can talk to you too to change it","negative"
"36","hey I was wondering if you know where my new phone is that I just recently ordered","neutral"
"37","I just received this device and I'd love some supported to be able to set it up","neutral"
"38","hey I was just looking online at your shoes and I was wondering if you have this friend in Pink","neutral"
"39","hello someone from your team delivered my package today but it's it's got a problem with it","negative"
"40","hi I just recently placed an order with your company I was just wondering if you know the status of my shipment","neutral"
"41","the shipment I received is wrong","negative"
"42","hey I'm calling up to to see if I can talk to someone to help with her a shipment that I received yesterday","neutral"
"43","hey man I just bought a product from you guys and I think it's amazing but I need a little help setting it up","positive"
"44","the shipment I received is wrong","negative"
"45","hi Jacob I just placed an order with you guys but I found the same product online at another store for a cheaper price I was wondering if you could price match it or could I cancel this order","neutral"
"46","hey my name is Daniel I received my shipment yesterday but it's wrong can I change it","negative"
"47","hi I placed an order a couple days ago and I was just wondering why my tracking number isn't working","negative"
"48","hey I just ordered the new phone and I was wondering if I could get earpods put into that order just dial before you guys send it","neutral"
"49","I would have a couple of things from you guys the other day and two it two of them two of them great and I love them but the other one is is not the right thing","neutral"
"50","hi just about to order these shoes online I was just wondering if you have any different sizes in store","neutral"
"51","my shipment arrived yesterday but it's not the right thing is there someone I can talk to you to fix it up","negative"
"52","I bought a pair of pants from you guys and they are just a bit too long do you guys do Hemi","negative"
"53","hi I was just looking at finding a new phone I was wondering if you could recommend anything to me","neutral"
"54","accidentally made some errors in the order I recently just place I was wondering if you could help me","neutral"
"55","I bought a hat from you guys and it's just too big is there anyway I can get it down size and what's your policies on that","negative"
"56","I'm calling out to talk about a package I got yesterday it so I got it but I need to do I need some help with setting it up","neutral"
"57","hi I was just wondering if you have the extra large tea and blue","neutral"
"58","I purchase something from your online store yesterday but the receipt didn't come through can can I get another receipt emailed please","negative"
"59","hey my order arrived today but it's it's there's a it's I don't think it's the one that I ordered I checked the receipt and it doesn't match what what a ride","negative"
"60","my package was supposed to be delivered yesterday but if it didn't arrive is there someone I can talk to about my order","negative"
"61","I just placed an order and I was wondering if I could change my shipping time from standard business days to rush if possible","neutral"
"62","hey how are you doing I just put a cat from you guys and it's just the Wrong Colours is there any chance I can change that","negative"
"63","hey mate I just finished paying for my order and I was just wondering when I'm going to get that email to confirm it","neutral"
"64","these clothes I just bought from you guys too small is there any way I can change the size","negative"
"65","what's the process I have to go through to send my product back for a swap","neutral"
"66","my shipment arrived this afternoon but it's wrong size is there anyone I can talk to you to change it","negative"
"67","my shipment arrived this afternoon but it's wrong size is there anyone I can talk to you to change it","negative"
"68","hey mate how you doing just calling in regards to the phone I just purchased from you guys faulty not working and there was damaged on the way here","negative"
"69","my package was supposed to be delivered yesterday but if it didn't arrive is there someone I can talk to about my order","negative"
"70","hey just looking to place an order but I see that you have a promotion still running can you give me some more details behind this promotion","neutral"
"71","hi Tony I just placed an order I'm currently having a few problems I was wondering if you could help me","neutral"
"72","I just ordered the new remote control car off your website I was just didn't see how many horsepower it has can you tell me","neutral"
"73","yeah hi John just calling in regards to a recent order I just placed I found a cheaper product online and I was wondering if I could cancel that","neutral"
"74","I just bought a product from you guys and I wouldn't want to know if I can send it back to get a colour change","neutral"
"75","I was looking online it says that you're only sizes available or large and small I was wondering if you'll have any mediums in soon","neutral"
"76","I bought a pair of pants and they're the wrong colour is there any chance I can change that","negative"
"77","my shipment arrived yesterday but it's not the right thing is there someone I can talk to you to fix it up","negative"
"78","hey mate there must have been a problem with the shipping because the product I just received from you is damaged","negative"
"79","hey mate I just bought a product from you guys and I'm just not happy with the pot the product can I return it","negative"
"80","yeah hey Steve just calling in regards to a recent order I just placed I was wondering if I could cancel that order","neutral"
"81","wrong package delivered","negative"
"82","party thank god I'm free been on hold for the last 30 minutes you got a couple of complaints made about this order I just posted","neutral"
"83","hey mate just have a few questions regarding the recent order I just posted it shows that it's coming from overseas however when I look at the Australian soccer shop online it says that there's current stock in store for the Australian store","neutral"
"84","hi just calling in regards to my order on November the 3rd I was just wondering when that's going to leave your office","neutral"
"85","all the things I receive my order yesterday with damaged I'm not sure what happened to delivery is there someone that can give me a hand","negative"
"86","my order a 64321 arrived this morning but there's something wrong with it is there someone I can talk to you to fix it","negative"
"87","hi I just pre-ordered the nudity and this is my order number but doctor I was just wondering if you know where abouts it isn't shipment","neutral"
"88","calling in regards to the order I just got would love some support","neutral"
"89","hey I was just wondering about the sizing on your shirts it says us as how does that relate to AUD","neutral"
"90","what's your refund policy on items that I've purchased from you guys","neutral"
"91","I just bought a item from you guys and I'd want to know if I can swap it for a different colour","neutral"
"92","I just placed an order I was wondering how long shipping time would be expected to be","neutral"
"93","I got my order yesterday and the order number is 1863 3845 I'm just calling up to to check some more details on that","neutral"
"94","it says here you have the iPhone x l and X I was wondering if you still stock the iPhone 10","neutral"
"95","yeah hi Tommy I just placed an order with you guys but I use the wrong payment processing method I was wondering if I could change that","negative"
"96","the product arrived and there was a few things in the box but two of them the wrong is there someone I can talk to about fixing up my order","negative"
"97","yeah hello I'm just wondering if I can speak to someone about an order I received yesterday","neutral"
"98","hi I recently ordered a new phone and I'm just wondering where I could find my reference number for the delivery","neutral"
"99","just looking to get some more information on the current promotions you're offering right now before I place my order","neutral"
"100","hi I just realised I ordered the wrong computer I was wondering if I could just cancel that and organise a refund","negative"
"101","hey mate how you doing I'm just calling in regards to the product that god it's faulty and doesn't work","negative"